2026-06-02 14:03:37.095 [DEBUG] MIDI fader physical ch 3, logical ch 3: 17.95% raw 2940; touched=True
2026-06-02 14:03:37.095 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=649366ac-21fd-4181-b0be-934deafea94f, Value=17
2026-06-02 14:03:37.101 [DEBUG] MIDI received: status E2, data1 38, data2 17, channel 3, command E0
2026-06-02 14:03:37.101 [DEBUG] MIDI fader physical ch 3, logical ch 3: 18.31% raw 3000; touched=True
2026-06-02 14:03:37.106 [DEBUG] MIDI received: status E2, data1 78, data2 17, channel 3, command E0
2026-06-02 14:03:37.106 [DEBUG] MIDI fader physical ch 3, logical ch 3: 18.7% raw 3064; touched=True
2026-06-02 14:03:37.111 [DEBUG] MIDI received: status E2, data1 44, data2 18, channel 3, command E0
2026-06-02 14:03:37.111 [DEBUG] MIDI fader physical ch 3, logical ch 3: 19.17% raw 3140; touched=True
2026-06-02 14:03:37.116 [DEBUG] MIDI received: status E2, data1 08, data2 19, channel 3, command E0
2026-06-02 14:03:37.117 [DEBUG] MIDI fader physical ch 3, logical ch 3: 19.58% raw 3208; touched=True
2026-06-02 14:03:37.121 [DEBUG] MIDI received: status 90, data1 6D, data2 00, channel 1, command 90
2026-06-02 14:03:37.121 [DEBUG] MIDI fader release hold ch 6: skipped because no current fader value is known
2026-06-02 14:03:37.121 [DEBUG] MIDI fader touch ch 6: off
2026-06-02 14:03:37.123 [DEBUG] MIDI received: status E2, data1 60, data2 19, channel 3, command E0
2026-06-02 14:03:37.123 [DEBUG] MIDI fader physical ch 3, logical ch 3: 20.12% raw 3296; touched=True
2026-06-02 14:03:37.128 [DEBUG] MIDI received: status E2, data1 28, data2 1A, channel 3, command E0
2026-06-02 14:03:37.128 [DEBUG] MIDI fader physical ch 3, logical ch 3: 20.56% raw 3368; touched=True
2026-06-02 14:03:37.134 [DEBUG] MIDI received: status E2, data1 6C, data2 1A, channel 3, command E0
2026-06-02 14:03:37.134 [DEBUG] MIDI fader physical ch 3, logical ch 3: 20.97% raw 3436; touched=True
2026-06-02 14:03:37.139 [DEBUG] MIDI received: status E2, data1 44, data2 1B, channel 3, command E0
2026-06-02 14:03:37.139 [DEBUG] MIDI fader physical ch 3, logical ch 3: 21.51% raw 3524; touched=True
2026-06-02 14:03:37.144 [DEBUG] MIDI received: status E2, data1 14, data2 1C, channel 3, command E0
2026-06-02 14:03:37.144 [DEBUG] MIDI fader physical ch 3, logical ch 3: 22% raw 3604; touched=True
2026-06-02 14:03:37.150 [DEBUG] MIDI received: status E2, data1 4C, data2 1C, channel 3, command E0
2026-06-02 14:03:37.150 [DEBUG] MIDI fader physical ch 3, logical ch 3: 22.34% raw 3660; touched=True
2026-06-02 14:03:37.155 [DEBUG] MIDI received: status E2, data1 0C, data2 1D, channel 3, command E0
2026-06-02 14:03:37.155 [DEBUG] MIDI fader physical ch 3, logical ch 3: 22.73% raw 3724; touched=True
2026-06-02 14:03:37.160 [DEBUG] MIDI received: status E2, data1 58, data2 1D, channel 3, command E0
2026-06-02 14:03:37.160 [DEBUG] MIDI fader physical ch 3, logical ch 3: 23.19% raw 3800; touched=True
2026-06-02 14:03:37.166 [DEBUG] MIDI received: status E2, data1 24, data2 1E, channel 3, command E0
2026-06-02 14:03:37.166 [DEBUG] MIDI fader physical ch 3, logical ch 3: 23.66% raw 3876; touched=True
2026-06-02 14:03:37.171 [DEBUG] MIDI received: status E2, data1 70, data2 1E, channel 3, command E0
2026-06-02 14:03:37.171 [DEBUG] MIDI fader physical ch 3, logical ch 3: 24.12% raw 3952; touched=True
2026-06-02 14:03:37.176 [DEBUG] MIDI received: status E2, data1 34, data2 1F, channel 3, command E0
2026-06-02 14:03:37.176 [DEBUG] MIDI fader physical ch 3, logical ch 3: 24.54% raw 4020; touched=True
2026-06-02 14:03:37.180 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=649366ac-21fd-4181-b0be-934deafea94f, Value=25
2026-06-02 14:03:37.181 [DEBUG] MIDI received: status E2, data1 14, data2 20, channel 3, command E0
2026-06-02 14:03:37.181 [DEBUG] MIDI fader physical ch 3, logical ch 3: 25.12% raw 4116; touched=True
2026-06-02 14:03:37.187 [DEBUG] MIDI received: status E2, data1 6C, data2 20, channel 3, command E0
2026-06-02 14:03:37.187 [DEBUG] MIDI fader physical ch 3, logical ch 3: 25.66% raw 4204; touched=True
2026-06-02 14:03:37.192 [DEBUG] MIDI received: status E2, data1 3C, data2 21, channel 3, command E0
2026-06-02 14:03:37.192 [DEBUG] MIDI fader physical ch 3, logical ch 3: 26.15% raw 4284; touched=True
2026-06-02 14:03:37.197 [DEBUG] MIDI received: status E2, data1 0C, data2 22, channel 3, command E0
2026-06-02 14:03:37.197 [DEBUG] MIDI fader physical ch 3, logical ch 3: 26.64% raw 4364; touched=True
2026-06-02 14:03:37.203 [DEBUG] MIDI received: status E2, data1 48, data2 22, channel 3, command E0
2026-06-02 14:03:37.203 [DEBUG] MIDI fader physical ch 3, logical ch 3: 27% raw 4424; touched=True
2026-06-02 14:03:37.208 [DEBUG] MIDI received: status E2, data1 1C, data2 23, channel 3, command E0
2026-06-02 14:03:37.208 [DEBUG] MIDI fader physical ch 3, logical ch 3: 27.52% raw 4508; touched=True
2026-06-02 14:03:37.213 [DEBUG] MIDI received: status E2, data1 64, data2 23, channel 3, command E0
2026-06-02 14:03:37.213 [DEBUG] MIDI fader physical ch 3, logical ch 3: 27.96% raw 4580; touched=True
2026-06-02 14:03:37.219 [DEBUG] MIDI received: status E2, data1 24, data2 24, channel 3, command E0
2026-06-02 14:03:37.219 [DEBUG] MIDI fader physical ch 3, logical ch 3: 28.35% raw 4644; touched=True
2026-06-02 14:03:37.224 [DEBUG] MIDI received: status E2, data1 64, data2 24, channel 3, command E0
